county,pop
41001,3224
41003,33801
41005,223819
41007,36591
41009,34046
41011,58500
41013,19394
41015,23199
41017,133936
31099,24962
41021,1714
41023,6490
41025,7593
48337,19720
41027,19549
41029,188687
41031,28890
41033,78162
41035,73769
41037,7803
41039,326730
41041,36262
41043,124274
41045,30746
41047,303538
46103,99588
41049,10722
41051,653968
41053,55435
41055,1967
41057,29805
41059,70463
41061,35360
41063,6890
41065,21278
41067,564366
41069,1274
41071,181666
6007,129202
46107,3290
6057,66176
13101,4253
33001,42064
22103,212003
33003,42185
33005,67342
33007,28461
33009,68072
33011,287378
33013,182686
33015,335503
33017,134520
33019,57118
13103,50420
56027,1505
17195,67399
6011,14664
6003,1040
41019,98128
17197,930544
48339,404021
54023,10496
56043,8051
53031,56723
6067,1279683
17199,107899
6015,22935
31111,41671
25001,206020
25003,115537
25005,476674
25007,12490
25009,637413
25011,60597
25013,414954
25015,140011
25017,1310798
25019,8191
25021,562652
25023,512135
25025,774986
25027,808249
49011,261261
53029,56238
19193,107087
17201,296713
42025,47158
6059,2837510
17203,68284
6019,702285
17001,61906
17003,6380
17005,6406
17007,33543
17009,5080
17011,28761
17013,3837
17015,4627
17017,10760
17019,160855
17021,24483
17023,3795
17025,11170
17027,22116
48031,1544
17029,22831
17031,4444415
17033,18073
17035,30626
17037,45838
17039,9184
17041,17073
17043,806038
31119,1517
17045,27794
17047,4386
17049,21538
48341,17324
17051,15212
17053,12411
17055,23027
17057,25672
17059,7288
17061,8414
17063,4387
17065,4955
17067,19221
17069,3693
17071,7165
17073,23217
17075,24102
17077,24136
17079,22973
17081,34083
17083,16802
17085,27651
17087,7224
17089,558019
17091,90730
17093,128856
17095,21075
17097,769415
17099,95710
17101,15434
17103,25665
17105,56147
17107,20762
17109,31452
17111,357394
17113,157965
17115,106508
17117,30197
17119,217997
17121,37121
17123,12731
17125,11561
12027,1007
17129,9725
17131,11385
17133,1187
17135,31006
17137,2886
17139,17156
17141,54024
17143,171803
17145,18773
17147,28843
29213,60655
17149,17026
17151,2310
17153,8212
17155,6565
17157,30694
17159,20181
17161,147273
17163,352570
31123,3849
17165,26473
17167,207109
17169,6827
17171,35356
17173,33419
17175,25622
17177,51130
17179,105869
17181,15360
17183,82025
17185,15769
17187,53150
17189,38117
17191,17650
9001,801083
9003,717402
9005,182094
9007,164109
9009,871562
9011,230891
9013,166647
9015,131327
29215,50800
50001,24376
50003,36556
50005,15675
50007,128176
50009,5155
50011,49879
50013,7410
50015,18479
50017,22684
50019,35737
50021,63938
50023,74619
50025,41447
50027,62139
29217,23397
29219,41197
22127,52131
1001,34560
1003,159480
1005,2918
1009,2984
13127,67552
1011,4718
1013,3558
1015,83530
1017,14775
1019,13228
6035,22022
1021,39655
1023,12090
1025,9479
1027,2430
1029,5430
1031,9790
1033,50264
1035,5046
1037,6736
1039,11428
1041,43368
1043,47221
1045,63653
1047,22691
1049,59142
1051,47997
1053,40630
1055,106258
42017,528666
1059,18644
42021,111557
1063,7389
1065,7337
42027,99768
42029,300865
42031,30541
42033,78409
42035,24329
42037,10792
42039,62582
1081,39802
1083,52476
1085,24785
1087,68521
42049,256550
1091,15495
1093,35839
1095,112901
1097,390189
1099,41223
1101,238447
1103,150453
1105,17694
1107,16102
1109,37677
1111,30040
1113,111629
1115,77604
1117,302770
1119,16098
1121,90397
1123,65551
1125,188021
1127,64157
1129,16725
1131,24074
1133,51571
42095,299662
42097,125578
42099,49625
31135,7778
42101,1301610
42103,51297
42105,21298
42107,153647
42109,23713
49009,721
42111,93269
42113,4214
42115,26067
42117,46990
42119,54325
42121,77990
42123,69157
42125,262030
42127,107508
42129,452532
42131,38517
42133,527527
48229,46341
29227,3746
6041,227776
17193,15822
34001,220255
34003,857770
34005,406362
34007,467718
34009,99929
34011,80453
34013,527118
34015,332139
34017,575276
34019,92969
34021,246747
34023,625006
34025,597181
34027,443415
6043,21453
34029,647694
34031,502350
34033,137295
34035,362705
34037,130326
34039,690317
34041,159078
53041,46573
48251,103549
39051,6045
13137,16105
32033,9915
6045,82708
22067,21167
48327,6749
13139,231888
31143,30534
54057,26100
48329,129062
22079,149510
6065,1766665
26001,2749
26003,4419
26005,36241
26007,12558
26009,6764
26011,3999
26015,26463
26017,100209
26019,7572
26021,77558
40147,77612
26023,25542
26025,83593
26027,65732
26029,20520
26031,21825
26033,33302
26035,2584
26037,13030
48331,15225
26041,39322
26043,21116
26045,46147
26047,45213
26049,264031
22091,15716
26053,16434
26055,33806
26057,44435
26059,43890
26061,22179
26063,19603
26065,284167
13143,22480
26067,63230
26069,27147
26071,10793
26073,15084
26075,178382
26077,230085
26079,34232
26081,556029
26083,10804
26085,3404
26087,73109
26089,58263
26091,84083
26093,143061
26095,6928
26097,10640
48333,3662
26099,772366
26101,13159
26103,61286
26105,40871
26107,28385
26109,30003
26111,153646
26113,23228
26115,142773
26117,68061
26119,1037
26121,122931
26123,73480
26125,1280820
26127,54928
26129,24114
26131,7216
26133,37866
26135,18273
26137,42626
26139,346687
26141,41422
26143,44769
26145,172376
26147,177843
26149,78460
26151,49888
26153,7339
26155,119998
26157,116560
48335,1016
26159,191971
26161,420040
26163,1794840
26165,49578
22113,149380
18001,10242
18003,304085
18005,22972
18007,505
40153,17451
18011,24699
18013,32915
18015,2508
18017,35095
18019,72211
18021,6657
18023,8257
42063,75066
18027,23037
18029,13844
18031,2410
18033,41134
21059,37182
18035,78282
18037,35013
18039,145271
18043,82804
39063,65321
18045,10071
18047,26065
18051,26967
18053,48806
18055,25208
18057,131773
18059,3218
18061,39027
18063,101118
18065,71014
18067,16942
18071,2511
54067,25386
18075,17031
18077,3477
18079,80692
18081,97111
18083,44247
18085,67407
42065,53019
18087,19260
18089,366359
18091,38264
18093,13065
18095,199917
18097,926629
18099,23630
18101,12993
18103,42512
18105,136242
18107,35546
18109,76461
18111,21507
18113,66568
18115,5564
18117,23250
18119,37378
18121,11242
18123,25827
18125,21509
18127,310370
18129,11941
18131,7370
54069,46014
18135,31115
18137,40051
18139,66560
